,0
MAE,2.5987645546726577
RMSE,2.7876102501735334
NDCG@10,0.1299243830776887
NDCG@5,0.12445568346923476
Precision@10,0.10680127523910708
Precision@5,0.11519659936238115
Recall@10,0.09963949850729233
Recall@5,0.05733923017521732
Train (s),51.11127495765686
Test (s),12.086863279342651
MAE,2.8235679560935534
RMSE,2.9691053157935787
NDCG@10,0.10468501674655616
NDCG@5,0.09873210060343432
Precision@10,0.08268831414008136
Precision@5,0.09091938833301616
Recall@10,0.08771061729748701
Recall@5,0.04871379084851088
Train (s),251.79725217819214
Test (s),58.72083306312561
