,0
AUC,0.9262837945191424
NDCG@10,0.1431713552858465
NDCG@5,0.13567052722183212
Precision@10,0.12301166489925734
Precision@5,0.13022269353128405
Recall@10,0.10242798455629241
Recall@5,0.05489294348187306
Train (s),1.124155044555664
Test (s),2.1430857181549072
AUC,0.8861808114839844
NDCG@10,0.10950214913043983
NDCG@5,0.10262790571668909
Precision@10,0.090400903444384
Precision@5,0.09674383587426794
Recall@10,0.08546566011716605
Recall@5,0.04754483731679537
Train (s),6.681921005249023
Test (s),10.73814582824707
